Rank,Book,Author(s),Original language,First published,Approximate sales,Genre
1,A Tale of Two Cities,Charles Dickens,English,1859,200 million,Historical fiction
2,The Little Prince (Le Petit Prince),Antoine de Saint-Exupéry,French,1943,200 million,"Fantasy, Children's fiction"
3,Harry Potter and the Philosopher's Stone,J. K. Rowling,English,1997,120 million,"Fantasy, Children's fiction"
4,And Then There Were None,Agatha Christie,English,1939,100 million,Mystery
5,Dream of the Red Chamber (紅樓夢),Cao Xueqin,Chinese,1791,100 million,Family saga
6,The Hobbit,J. R. R. Tolkien,English,1937,100 million,"Fantasy, Children's fiction"
7,She: A History of Adventure,H. Rider Haggard,English,1887,83 million,Adventure
8,Vardi Wala Gunda (वर्दी वाला गुंडा),Ved Prakash Sharma,Hindi,1992,80 million,Detective
9,The Da Vinci Code,Dan Brown,English,2003,80 million,Mystery thriller
10,Harry Potter and the Chamber of Secrets,J. K. Rowling,English,1998,77 million,Fantasy
11,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,English,1999,65 million,Fantasy
12,Harry Potter and the Goblet of Fire,J. K. Rowling,English,2000,65 million,Fantasy
13,Harry Potter and the Order of the Phoenix,J. K. Rowling,English,2003,65 million,Fantasy
14,Harry Potter and the Half-Blood Prince,J. K. Rowling,English,2005,65 million,Fantasy
15,Harry Potter and the Deathly Hallows,J. K. Rowling,English,2007,65 million,Fantasy
16,The Alchemist (O Alquimista),Paulo Coelho,Portuguese,1988,65 million,Fantasy
17,The Catcher in the Rye,J. D. Salinger,English,1951,65 million,Coming-of-age
18,The Bridges of Madison County,Robert James Waller,English,1992,60 million,Romance
19,One Hundred Years of Solitude (Cien años de soledad),Gabriel García Márquez,Spanish,1967,50 million,Magic realism
20,Lolita,Vladimir Nabokov,English,1955,50 million,Novel
21,Heidi,Johanna Spyri,German,1880,50 million,Children's fiction
22,The Common Sense Book of Baby and Child Care,Benjamin Spock,English,1946,50 million,Manual
23,Anne of Green Gables,Lucy Maud Montgomery,English,1908,50 million,Children's novel
24,Black Beauty,Anna Sewell,English,1877,50 million,Children's literature
25,The Name of the Rose (Il Nome della Rosa),Umberto Eco,Italian,1980,50 million,"Historical novel, mystery"
26,The Eagle Has Landed,Jack Higgins,English,1975,50 million,"War, thriller"
27,Watership Down,Richard Adams,English,1972,50 million,Fantasy
